movie_id,title,genre,description,director,actors
1,The Matrix,Sci-Fi,A computer programmer discovers he lives in a simulated reality and joins a rebellion to free humanity.,Wachowski Sisters,Carrie-Anne Moss|Laurence Fishburne|Keanu Reeves
2,Inception,Sci-Fi,A thief who enters the dreams of others to steal secrets is offered a chance to regain his old life in exchange for planting an idea in a CEO's mind.,Christopher Nolan,Ellen Page|Joseph Gordon-Levitt|Leonardo DiCaprio
3,The Dark Knight,Action,"When the menace known as the Joker wreaks havoc on Gotham City, Batman must confront his greatest psychological and physical tests.",Christopher Nolan,Michael Caine|Heath Ledger|Christian Bale
4,Pulp Fiction,Crime,"The lives of two mob hitmen, a boxer, a gangster and his wife interweave in four tales of violence and redemption.",Quentin Tarantino,Uma Thurman|Samuel L. Jackson|John Travolta
5,Forrest Gump,Drama,"The story of a man with a low IQ who accomplished great things in his life, guided by his devoted mother and his pure heart.",Robert Zemeckis,Gary Sinise|Robin Wright|Tom Hanks
6,The Godfather,Crime,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,James Caan|Al Pacino|Marlon Brando
7,Jurassic Park,Adventure,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,Jeff Goldblum|Laura Dern|Sam Neill
8,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,Bob Gunton|Morgan Freeman|Tim Robbins
9,Titanic,Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,Billy Zane|Kate Winslet|Leonardo DiCaprio
10,Avatar,Sci-Fi,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,Sigourney Weaver|Zoe Saldana|Sam Worthington
11,The Silence of the Lambs,Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,Scott Glenn|Anthony Hopkins|Jodie Foster
12,Goodfellas,Crime,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,Joe Pesci|Ray Liotta|Robert De Niro
13,Fight Club,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,Helena Bonham Carter|Edward Norton|Brad Pitt
14,The Lord of the Rings: The Fellowship of the Ring,Fantasy,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,Viggo Mortensen|Ian McKellen|Elijah Wood
15,Star Wars: Episode IV - A New Hope,Sci-Fi,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station.",George Lucas,Carrie Fisher|Harrison Ford|Mark Hamill
