movie_id,title,director,genre,actors,description
1,The Matrix,Wachowski Sisters,Sci-Fi,"Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss","A computer programmer discovers he lives in a simulated reality and joins a rebellion to free humanity."
2,Inception,Christopher Nolan,Sci-Fi,"Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page","A thief who enters the dreams of others to steal secrets is offered a chance to regain his old life in exchange for planting an idea in a CEO's mind."
3,The Dark Knight,Christopher Nolan,Action,"Christian Bale|Heath Ledger|Michael Caine","When the menace known as the Joker wreaks havoc on Gotham City, Batman must confront his greatest psychological and physical tests."
4,Pulp Fiction,Quentin Tarantino,Crime,"John Travolta|Samuel L. Jackson|Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife interweave in four tales of violence and redemption."
5,Forrest Gump,Robert Zemeckis,Drama,"Tom Hanks|Robin Wright|Gary Sinise","The story of a man with a low IQ who accomplished great things in his life, guided by his devoted mother and his pure heart."
6,The Godfather,Francis Ford Coppola,Crime,"Marlon Brando|Al Pacino|James Caan","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
7,Jurassic Park,Steven Spielberg,Adventure,"Sam Neill|Laura Dern|Jeff Goldblum","A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
8,The Shawshank Redemption,Frank Darabont,Drama,"Tim Robbins|Morgan Freeman|Bob Gunton","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
9,Titanic,James Cameron,Romance,"Leonardo DiCaprio|Kate Winslet|Billy Zane","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
10,Avatar,James Cameron,Sci-Fi,"Sam Worthington|Zoe Saldana|Sigourney Weaver","A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
11,The Silence of the Lambs,Jonathan Demme,Thriller,"Jodie Foster|Anthony Hopkins|Scott Glenn","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
12,Goodfellas,Martin Scorsese,Crime,"Robert De Niro|Ray Liotta|Joe Pesci","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito."
13,Fight Club,David Fincher,Drama,"Brad Pitt|Edward Norton|Helena Bonham Carter","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
14,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Fantasy,"Elijah Wood|Ian McKellen|Viggo Mortensen","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
15,Star Wars: Episode IV - A New Hope,George Lucas,Sci-Fi,"Mark Hamill|Harrison Ford|Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station."
